# KBS Insect Collection
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/69
# The newest version of the data https://lter.kbs.msu.edu/datatables/69.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/28.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Order		taxonomic order of the organism
# Family		taxonomic family of the organism
# Genus		taxonomic genus of the organism
# SpecificEpithet		taxonomic specific epithet of the organism
# Author		party responsible for the formal description of the organism
# CommonName		a common name of the organism
# Comments		comments for this record
# IdentifyingCharacteristics		identifying characteristics
# CommonGroup		a common group to which this organism belongs
# FunctionalGroup		a functional group to which this organism belongs
# Hosts		hosts
# LifeHistory		life history
# Habitat		habitat in which this organism occurs
# GeographicDistribution		geographic distribution of this organism
# Origin		native to North America, or exotic
# Species		a code for identifying this species, unique within the KBS namespace
# Specimen		a code for uniquely identifying this specimen
# StorageLocation		where the specimen is stored; 'photo only' if specimen was photographed but not collected
# Stage_Sex		life history stage and/or sex of the specimen
# Treatment		LTER treatment in which the specimen was encountered
# Replicate		LTER replicate plot (nested within treatment) in which the specimen was encountered
# Collector		person who collected the specimen
# img_src		URL for a digital image of the specimen
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
Order,Family,Genus,SpecificEpithet,Author,CommonName,Comments,IdentifyingCharacteristics,CommonGroup,FunctionalGroup,Hosts,LifeHistory,Habitat,GeographicDistribution,Origin,Species,Specimen,StorageLocation,Stage_Sex,Treatment,Replicate,Collector,img_src
#,,,,,,,,,,,,,,,,,,,,,,
Orthoptera,Acrididae,Acrididae genera,,,short-horned grasshoppers,,,unspecified,unspecified,,,,,unspecified,acrspe,74,unspecified,,T6,R3,,http://lter.kbs.msu.edu/biocollections/insects/0074-13-5.jpg
Orthoptera,Acrididae,Acrididae genera,,,short-horned grasshoppers,,,unspecified,unspecified,,,,,unspecified,acrspe,389,KBS Biocollections(Stack rm. 236),adult,T7,R4,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,325,KBS Biocollections(Stack rm. 236),adult,T1,R2 (microplot),Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,324,KBS Biocollections(Stack rm. 236),adult,T1,R2 (microplot),Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,451,unspecified,,T2,R2,,http://lter.kbs.msu.edu/biocollections/insects/xxxx-8-34.jpg
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,320,KBS Biocollections(Stack rm. 236),adult,T5,R6,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,321,KBS Biocollections(Stack rm. 236),adult,T5,R6,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,322,KBS Biocollections(Stack rm. 236),adult,T5,R6,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,323,KBS Biocollections(Stack rm. 236),adult,T5,R6,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,328,KBS Biocollections(Stack rm. 236),adult,T6,R1,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,333,KBS Biocollections(Stack rm. 236),adult,T6,R1,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,334,KBS Biocollections(Stack rm. 236),adult,T6,R1,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,332,KBS Biocollections(Stack rm. 236),adult,T6,R1,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,472,unspecified,,T6,R5,,http://lter.kbs.msu.edu/biocollections/insects/xxxx-11-4.jpg
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,471,unspecified,,T6,R5,,http://lter.kbs.msu.edu/biocollections/insects/xxxx-11-7.jpg
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,327,KBS Biocollections(Stack rm. 236),adult,T7,R2,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,326,KBS Biocollections(Stack rm. 236),adult,T7,R4,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,331,KBS Biocollections(Stack rm. 236),adult,T7,R6,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,330,KBS Biocollections(Stack rm. 236),adult,T7,R6,Jennifer Gage,
Orthoptera,Acrididae,Cyrtacanthacridinae genera,,,spur-throated grasshoppers,,"short antennae; the spur-throated grasshoppers belong to the subfamily Cyrtacanthacridinae;distinguished by a spur in the ventral ""throat"" area, and lack of a sharply inward slanting head, as do grasshoppers in different subfamilies.",grasshoppers,herbivore,,"These grasshoppers are responsible for much crop damage. They sometimes increase to incredibly large population sizes, and their migrating swarms have been described to literally darken the sky.",,,unspecified,cyrspe,329,KBS Biocollections(Stack rm. 236),adult,T7,R6,Jennifer Gage,
Orthoptera,Acrididae,Melanoplus,femurrubrum,DeGeer,red-legged grasshopper,,19-26 mm length; spur on underside of throat (subfamily characteristic); brownish or yellowish; hind tibia red; hind femora have a herringbone pattern.,grasshoppers,herbivore,grasses and grain crops,"can be found in a diverse array of haitats, from wet to dry, native to managed landscapes; often a destructive crop pest.","grasslands, agricultural fields, lawns, woods",widespread throughout the US and eastern Canada,native,melspe,75,KBS Biocollections(Stack rm. 236),adult,T6,R3,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0075-13-13.jpg
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,300,KBS Biocollections(Stack rm. 236),adult,T5,R4,Jennifer Gage,
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,295,KBS Biocollections(Stack rm. 236),adult,T5,R5,Jennifer Gage,
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,294,KBS Biocollections(Stack rm. 236),adult,T5,R5,Jennifer Gage,
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,296,KBS Biocollections(Stack rm. 236),adult,T5,R5,Jennifer Gage,
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,297,KBS Biocollections(Stack rm. 236),adult,T5,R6,Jennifer Gage,
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,298,KBS Biocollections(Stack rm. 236),adult,T7,R4,Jennifer Gage,
Heteroptera,Alydidae,Alydidae genera,,,broad-headed bug,,,true bugs,unspecified,,,,,unspecified,alyspe,299,KBS Biocollections(Stack rm. 236),adult,T7,R4,Jennifer Gage,
